date,open,high,low,close,volume
2024-12-16 00:00:00+05:30,1275.0,1281.6,1266.85,1268.05,465483
2024-12-17 00:00:00+05:30,1262.65,1262.65,1242.6,1245.1,639483
2024-12-18 00:00:00+05:30,1243.4,1259.9,1241.75,1253.05,260426
2024-12-19 00:00:00+05:30,1239.95,1244.95,1229.4,1230.6,424104
2024-12-20 00:00:00+05:30,1229.95,1239.75,1202.1,1206.0,1166317
2024-12-23 00:00:00+05:30,1217.25,1227.0,1213.15,1222.1,3332773
2024-12-24 00:00:00+05:30,1231.9,1233.45,1221.45,1223.5,268064
2024-12-26 00:00:00+05:30,1224.65,1228.0,1214.45,1216.6,556935
2024-12-27 00:00:00+05:30,1216.65,1227.6,1216.65,1220.95,653086
2024-12-30 00:00:00+05:30,1219.65,1223.35,1208.65,1210.9,314452
2024-12-31 00:00:00+05:30,1210.4,1219.05,1206.4,1215.45,444246
2025-01-01 00:00:00+05:30,1218.95,1226.2,1212.1,1221.65,380215
2025-01-02 00:00:00+05:30,1220.7,1244.5,1220.25,1241.65,529144
2025-01-03 00:00:00+05:30,1247.75,1262.3,1235.6,1251.35,502895
2025-01-06 00:00:00+05:30,1251.55,1261.7,1215.3,1218.2,782428
2025-01-07 00:00:00+05:30,1221.65,1243.4,1221.4,1240.9,512057
2025-01-08 00:00:00+05:30,1251.2,1270.7,1245.0,1264.7,881916
2025-01-09 00:00:00+05:30,1267.9,1269.4,1248.0,1255.0,262909
2025-01-10 00:00:00+05:30,1255.9,1256.7,1236.15,1242.35,498991
2025-01-13 00:00:00+05:30,1230.0,1245.15,1225.6,1240.05,810470
2025-01-14 00:00:00+05:30,1240.0,1255.05,1227.3,1238.55,837785
2025-01-15 00:00:00+05:30,1247.0,1256.75,1242.15,1252.3,287139
2025-01-16 00:00:00+05:30,1260.2,1275.0,1251.4,1268.7,391749
2025-01-17 00:00:00+05:30,1325.1,1325.1,1284.7,1301.3,1514067
2025-01-20 00:00:00+05:30,1319.35,1319.35,1300.55,1305.0,242236
2025-01-21 00:00:00+05:30,1310.0,1312.85,1269.55,1272.95,1210468
2025-01-22 00:00:00+05:30,1279.0,1282.9,1268.8,1277.3,2201402
2025-01-23 00:00:00+05:30,1274.75,1277.25,1261.55,1263.85,235409
2025-01-24 00:00:00+05:30,1266.9,1273.1,1244.0,1245.9,430797
2025-01-27 00:00:00+05:30,1239.9,1240.45,1220.05,1229.3,411760
2025-01-28 00:00:00+05:30,1236.6,1244.15,1218.9,1233.8,364260
2025-01-29 00:00:00+05:30,1237.3,1242.75,1228.45,1235.8,358148
2025-01-30 00:00:00+05:30,1235.0,1256.6,1232.25,1253.6,462230
2025-01-31 00:00:00+05:30,1257.4,1266.0,1249.5,1264.9,412707
2025-02-01 00:00:00+05:30,1265.0,1269.95,1241.5,1264.65,266300
2025-02-03 00:00:00+05:30,1250.0,1255.9,1238.0,1245.15,396687
2025-02-04 00:00:00+05:30,1247.05,1289.0,1246.65,1286.0,397483
2025-02-05 00:00:00+05:30,1284.95,1290.0,1276.15,1278.05,355650
2025-02-06 00:00:00+05:30,1276.6,1287.35,1270.8,1281.55,160168
2025-02-07 00:00:00+05:30,1266.45,1284.75,1262.0,1266.85,375026
2025-02-10 00:00:00+05:30,1263.8,1266.0,1245.85,1253.4,539885
2025-02-11 00:00:00+05:30,1263.05,1263.4,1230.0,1234.6,554854
2025-02-12 00:00:00+05:30,1219.95,1227.85,1193.65,1215.7,596942
2025-02-13 00:00:00+05:30,1218.95,1227.95,1212.15,1216.2,360188
2025-02-14 00:00:00+05:30,1220.0,1224.3,1206.0,1216.95,358010
2025-02-17 00:00:00+05:30,1215.75,1227.2,1205.15,1224.75,207944
2025-02-18 00:00:00+05:30,1225.25,1229.95,1216.4,1224.95,206583
2025-02-19 00:00:00+05:30,1222.75,1232.8,1217.6,1226.95,110206
2025-02-20 00:00:00+05:30,1226.25,1239.4,1223.0,1233.05,206262
2025-02-21 00:00:00+05:30,1229.95,1239.95,1222.35,1227.7,907589
2025-02-24 00:00:00+05:30,1219.4,1223.0,1210.6,1214.75,477209
2025-02-25 00:00:00+05:30,1213.95,1221.0,1201.0,1203.9,881729
2025-02-27 00:00:00+05:30,1213.55,1215.0,1201.0,1207.05,193166
2025-02-28 00:00:00+05:30,1201.0,1217.4,1193.3,1199.6,437656
2025-03-03 00:00:00+05:30,1209.8,1209.8,1156.0,1171.1,542446
2025-03-04 00:00:00+05:30,1165.0,1174.1,1159.25,1161.7,286826
2025-03-05 00:00:00+05:30,1162.0,1183.05,1158.0,1175.75,348560
2025-03-06 00:00:00+05:30,1201.0,1214.0,1185.5,1210.55,652420
2025-03-07 00:00:00+05:30,1214.05,1254.5,1212.3,1249.1,794738
2025-03-10 00:00:00+05:30,1249.1,1258.0,1235.5,1238.2,245117
2025-03-11 00:00:00+05:30,1238.05,1249.55,1230.0,1247.4,305952
2025-03-12 00:00:00+05:30,1256.85,1261.55,1244.0,1256.6,426299
2025-03-13 00:00:00+05:30,1262.9,1264.0,1244.0,1247.4,302876
2025-03-17 00:00:00+05:30,1247.0,1257.2,1233.25,1240.4,422823
2025-03-18 00:00:00+05:30,1243.5,1248.1,1234.9,1238.8,1740575
2025-03-19 00:00:00+05:30,1242.0,1252.75,1239.35,1247.7,295426
2025-03-20 00:00:00+05:30,1254.2,1272.8,1250.0,1268.55,612659
2025-03-21 00:00:00+05:30,1270.05,1284.5,1270.05,1276.45,361299
2025-03-24 00:00:00+05:30,1286.4,1305.3,1281.0,1301.35,861533
2025-03-25 00:00:00+05:30,1307.0,1307.0,1283.0,1285.4,865836
2025-03-26 00:00:00+05:30,1290.25,1293.95,1269.0,1272.55,658347
2025-03-27 00:00:00+05:30,1275.05,1285.15,1272.05,1278.4,278220
2025-03-28 00:00:00+05:30,1279.3,1295.7,1269.05,1275.0,987799
2025-04-01 00:00:00+05:30,1274.6,1277.8,1250.0,1252.45,722008
2025-04-02 00:00:00+05:30,1250.35,1256.0,1243.8,1251.1,243303
2025-04-03 00:00:00+05:30,1238.95,1251.2,1234.55,1248.6,532522
2025-04-04 00:00:00+05:30,1240.0,1245.2,1192.85,1204.7,785059
2025-04-07 00:00:00+05:30,1125.0,1171.0,1115.55,1166.2,1433461
2025-04-08 00:00:00+05:30,1177.85,1196.8,1163.85,1182.4,894893
2025-04-09 00:00:00+05:30,1172.4,1189.5,1169.1,1185.6,495957
2025-04-11 00:00:00+05:30,1200.0,1222.45,1197.05,1219.3,684519
2025-04-15 00:00:00+05:30,1256.0,1256.0,1237.0,1239.9,719043
2025-04-16 00:00:00+05:30,1239.85,1240.9,1229.05,1238.65,361521
2025-04-17 00:00:00+05:30,1238.65,1279.45,1227.4,1274.55,392500
2025-04-21 00:00:00+05:30,1271.55,1300.0,1266.75,1295.85,729259
2025-04-22 00:00:00+05:30,1300.0,1303.0,1286.5,1290.95,759456
2025-04-23 00:00:00+05:30,1295.85,1305.75,1285.3,1299.9,420698
2025-04-24 00:00:00+05:30,1298.65,1304.45,1290.5,1301.65,281535
2025-04-25 00:00:00+05:30,1301.0,1325.25,1288.0,1300.05,1543897
2025-04-28 00:00:00+05:30,1332.35,1374.9,1320.15,1368.5,1269304
2025-04-29 00:00:00+05:30,1370.35,1410.9,1370.2,1400.3,6415191
2025-04-30 00:00:00+05:30,1404.9,1411.85,1373.5,1408.35,3375628
2025-05-02 00:00:00+05:30,1408.4,1426.0,1408.4,1421.95,3746656
2025-05-05 00:00:00+05:30,1427.0,1439.75,1427.0,1431.1,428786
2025-05-06 00:00:00+05:30,1432.0,1432.0,1410.35,1420.55,311563
2025-05-07 00:00:00+05:30,1412.05,1424.9,1402.15,1406.0,262093
2025-05-08 00:00:00+05:30,1404.95,1420.5,1397.05,1404.85,573809
2025-05-09 00:00:00+05:30,1372.05,1395.0,1372.05,1377.75,388444
2025-05-12 00:00:00+05:30,1400.0,1438.9,1400.0,1436.55,792769
2025-05-13 00:00:00+05:30,1433.2,1447.35,1413.0,1416.2,992150
2025-05-14 00:00:00+05:30,1418.1,1429.8,1415.5,1424.25,320533
2025-05-15 00:00:00+05:30,1424.25,1461.0,1413.0,1453.8,479370
2025-05-16 00:00:00+05:30,1453.75,1460.2,1447.6,1456.6,338754
2025-05-19 00:00:00+05:30,1454.3,1454.3,1438.05,1441.65,550729
2025-05-20 00:00:00+05:30,1435.65,1444.55,1421.2,1425.3,670532
2025-05-21 00:00:00+05:30,1424.95,1436.1,1418.35,1428.9,507422
2025-05-22 00:00:00+05:30,1420.0,1422.5,1397.4,1409.4,388189
2025-05-23 00:00:00+05:30,1406.0,1433.7,1406.0,1426.45,386757
2025-05-26 00:00:00+05:30,1430.4,1441.2,1426.05,1434.15,330120
2025-05-27 00:00:00+05:30,1429.15,1437.3,1414.0,1421.75,1302990
2025-05-28 00:00:00+05:30,1421.7,1422.2,1410.2,1411.15,260943
2025-05-29 00:00:00+05:30,1413.35,1420.15,1408.95,1417.4,309419
2025-05-30 00:00:00+05:30,1417.8,1430.75,1410.0,1420.8,228179
2025-06-02 00:00:00+05:30,1415.95,1417.65,1395.9,1414.45,469571
